text,subject
Convert 0.75 into a fraction. (Ref: 285),Maths
What is the structure of an atom? (Ref: 1463),Science
She scored 85 out of 100 in maths. (Ref: 1235),Maths
He's been learning French recently. (Ref: 448),English
How did Shivaji Maharaj defend his forts? (Ref: 2113),History
Describe how vaccines work. (Ref: 316),Science
I paid ₹120 for 2 books. (Ref: 1321),Maths
She scored 85 out of 100 in maths. (Ref: 1392),Maths
Describe the conquests of Samudragupta. (Ref: 241),History
Identify the verb in this sentence. (Ref: 2378),English
Ashoka embraced Buddhism after the Kalinga war. (Ref: 907),History
Describe how vaccines work. (Ref: 1893),Science
Choose the correct article for this noun. (Ref: 1328),English
Calculate the volume of a cube with side 3cm. (Ref: 673),Maths
What is the function of an adverb in a sentence? (Ref: 478),English
Describe how vaccines work. (Ref: 725),Science
Solve: 3x - 4 = 11 (Ref: 1159),Maths
The Qutub Minar is in Delhi. (Ref: 2145),History
Salt dissolves faster in hot water. (Ref: 10),Science
What is the probability of rolling a 3 on a die? (Ref: 187),Maths
Salt dissolves faster in hot water. (Ref: 2283),Science
What is the quadratic formula? (Ref: 1324),Maths
Chhatrapati Shivaji Maharaj is celebrated for his valor. (Ref: 531),History
Correct the grammatical error in this statement. (Ref: 337),English
He ran 5 km in the morning. (Ref: 2202),Maths
Identify the verb in this sentence. (Ref: 245),English
Turning off lights saves energy. (Ref: 2295),Science
What is the law of conservation of mass? (Ref: 908),Science
Explain Mendel’s law of inheritance. (Ref: 1347),Science
I usually take the bus to school. (Ref: 2048),English
I'm planning to visit the library today. (Ref: 962),English
Ashoka embraced Buddhism after the Kalinga war. (Ref: 180),History
He saved ₹200 from his monthly allowance. (Ref: 1231),Maths
Discuss the contributions of the Gupta Empire. (Ref: 541),History
Plastic takes centuries to decompose. (Ref: 721),Science
Salt dissolves faster in hot water. (Ref: 2161),Science
Buddha attained enlightenment in Bodh Gaya. (Ref: 2162),History
What was the significance of the Battle of Panipat? (Ref: 261),History
They travelled 250 km in 5 hours. (Ref: 666),Maths
Explain the distributive property. (Ref: 2006),Maths
The cake was divided into 8 equal parts. (Ref: 1512),Maths
Solve: 3x - 4 = 11 (Ref: 1480),Maths
How did Shivaji Maharaj defend his forts? (Ref: 2234),History
I enjoy reading novels before bed. (Ref: 981),English
The cake was divided into 8 equal parts. (Ref: 1041),Maths
What is the law of conservation of mass? (Ref: 287),Science
State Newton’s second law of motion. (Ref: 2292),Science
What is the law of conservation of mass? (Ref: 769),Science
What is the correct punctuation for this dialogue? (Ref: 2075),English
What is the difference between mass and weight? (Ref: 1614),Science
I'm planning to visit the library today. (Ref: 830),English
She scored 85 out of 100 in maths. (Ref: 736),Maths
What is a compound-complex sentence? (Ref: 1112),English
Identify the verb in this sentence. (Ref: 2061),English
Define a rational number. (Ref: 1515),Maths
Fruits contain natural sugars and vitamins. (Ref: 350),Science
Chhatrapati Shivaji Maharaj is celebrated for his valor. (Ref: 209),History
Buddha attained enlightenment in Bodh Gaya. (Ref: 781),History
Ashoka embraced Buddhism after the Kalinga war. (Ref: 2063),History
I usually take the bus to school. (Ref: 1245),English
How did Shivaji Maharaj defend his forts? (Ref: 1621),History
The Red Fort was built by Shah Jahan. (Ref: 2195),History
Use 'however' in a complex sentence. (Ref: 406),English
The Indus Valley had planned drainage systems. (Ref: 937),History
Simplify the expression: (x^2 - 4)/(x - 2) (Ref: 1382),Maths
What is the difference between mass and weight? (Ref: 622),Science
What is the probability of rolling a 3 on a die? (Ref: 761),Maths
Define the principle of buoyancy. (Ref: 1247),Science
Magnets can attract some metals. (Ref: 1137),Science
Solve: 3x - 4 = 11 (Ref: 2425),Maths
What is the area of a triangle with base 5cm and height 4cm? (Ref: 2027),Maths
State Newton’s second law of motion. (Ref: 1798),Science
Describe the achievements of Chandragupta Maurya. (Ref: 205),History
Let’s catch up after the class ends. (Ref: 1400),English
I paid ₹120 for 2 books. (Ref: 133),Maths
He's been learning French recently. (Ref: 616),English
What is the law of conservation of mass? (Ref: 2012),Science
Describe the conquests of Samudragupta. (Ref: 313),History
Describe the impact of Akbar’s rule in India. (Ref: 990),History
She loves drinking coffee in the morning. (Ref: 1049),English
Describe how vaccines work. (Ref: 322),Science
Where did you go during the weekend? (Ref: 2106),English
Discuss the contributions of the Gupta Empire. (Ref: 1873),History
Correct the grammatical error in this statement. (Ref: 237),English
Explain the administration under Ashoka. (Ref: 1868),History
She bought 3 apples for ₹15 each. (Ref: 1632),Maths
What is the difference between mass and weight? (Ref: 2036),Science
What is the law of conservation of mass? (Ref: 1771),Science
The Maratha empire resisted the Mughals. (Ref: 2233),History
How do you use the present perfect tense? (Ref: 1004),English
The Indus Valley had planned drainage systems. (Ref: 2393),History
It's going to rain later today. (Ref: 1462),English
Rewrite the sentence in passive voice. (Ref: 1575),English
Calculate the volume of a cube with side 3cm. (Ref: 1423),Maths
Define the principle of buoyancy. (Ref: 1204),Science
What is the function of an adverb in a sentence? (Ref: 263),English
We shared the pizza equally among 4 people. (Ref: 2088),Maths
Wearing a helmet reduces head injury risk. (Ref: 1293),Science
Rewrite the sentence in passive voice. (Ref: 1073),English
What is the structure of an atom? (Ref: 1248),Science
What is the pH scale used for? (Ref: 724),Science
Use 'however' in a complex sentence. (Ref: 2462),English
Where did you go during the weekend? (Ref: 1373),English
I counted 12 birds on the tree. (Ref: 602),Maths
Fruits contain natural sugars and vitamins. (Ref: 1935),Science
Magnets can attract some metals. (Ref: 168),Science
The cake was divided into 8 equal parts. (Ref: 399),Maths
Salt dissolves faster in hot water. (Ref: 749),Science
Describe how vaccines work. (Ref: 979),Science
What is the difference between mass and weight? (Ref: 1392),Science
It's going to rain later today. (Ref: 47),English
Calculate the volume of a cube with side 3cm. (Ref: 1684),Maths
The cake was divided into 8 equal parts. (Ref: 917),Maths
Explain the rule of Rajaraja Chola. (Ref: 1279),History
The sun is a natural source of light. (Ref: 881),Science
Convert 0.75 into a fraction. (Ref: 457),Maths
Define the principle of buoyancy. (Ref: 1447),Science
Rewrite the sentence in passive voice. (Ref: 1438),English
Wearing a helmet reduces head injury risk. (Ref: 1805),Science
Define a rational number. (Ref: 2364),Maths
How did Shivaji Maharaj defend his forts? (Ref: 451),History
Describe the conquests of Samudragupta. (Ref: 24),History
What is the difference between mass and weight? (Ref: 621),Science
Describe the impact of Akbar’s rule in India. (Ref: 409),History
Washing hands prevents disease spread. (Ref: 903),Science
Explain Mendel’s law of inheritance. (Ref: 414),Science
